Date,Open,Close,Inflation,GDP
2014-01-01,5923.72021484375,6041.18994140625,4.1,1.5
2014-02-01,6041.77001953125,6424.990234375,4.2,1.5
2014-03-01,6424.85009765625,6428.7099609375,4.1,1.5
2014-04-01,6429.56005859375,6707.91015625,3.9,1.5
2014-05-01,6707.91015625,6647.64990234375,4.1,1.4
2014-06-01,6647.919921875,6844.31005859375,4.5,1.4
2014-07-01,6858.009765625,6864.81982421875,4.4,1.4
2014-08-01,6863.97998046875,7050.89013671875,4.9,1.9
2014-09-01,7050.72021484375,7283.06982421875,4.9,1.9
2014-10-01,7260.759765625,7215.72998046875,4.4,1.9
2014-11-01,7213.0498046875,7294.3798828125,4.3,0.7
2014-12-01,7297.1298828125,7186.31982421875,3.7,0.7
2015-01-01,7282.93994140625,7689.91015625,2.7,2.5
2015-02-01,7689.91015625,7730.56982421875,2.4,2.5
2015-03-01,7730.56982421875,7940.490234375,2.5,2.5
2015-04-01,7941.8798828125,7714.81982421875,2.4,2.5
2015-05-01,7713.419921875,7580.4599609375,2.2,0.4
2015-06-01,7580.4599609375,7564.5,1.6,0.4
2015-07-01,7509.0,7550.0,1.2,0.4
2015-08-01,7563.43994140625,7098.81005859375,0.8,2.0
2015-09-01,7065.08984375,6893.97998046875,0.6,2.0
2015-10-01,6899.259765625,7134.259765625,0.4,2.0
2015-11-01,7206.8798828125,6927.06982421875,0.4,1.4
2015-12-01,6918.5498046875,6952.080078125,1.1,1.4
2016-01-01,6954.27001953125,6687.6201171875,1.5,2.1
2016-02-01,6705.52001953125,6671.0400390625,1.3,2.1
2016-03-01,6670.75,7262.2998046875,0.9,2.1
2016-04-01,7273.8798828125,7159.2900390625,1.1,2.1
2016-05-01,7106.35009765625,7401.60009765625,1.1,1.3
2016-06-01,7447.27001953125,7796.25,1.6,1.3
2016-07-01,7811.2001953125,7963.10986328125,1.9,1.3
2016-08-01,8006.72021484375,7787.3701171875,1.9,1.8
2016-09-01,7775.77978515625,7629.72998046875,1.8,1.8
2016-10-01,7643.33984375,7404.7998046875,2.3,1.8
2016-11-01,7371.68017578125,6781.2001953125,2.3,1.2
2016-12-01,6902.14013671875,6840.64013671875,2.5,1.2
2017-01-01,6840.06005859375,7229.66015625,2.6,1.8
2017-02-01,7297.72021484375,7212.08984375,2.7,1.8
2017-03-01,7167.89013671875,7311.72021484375,3.3,1.8
2017-04-01,7323.740234375,7661.009765625,3.4,1.8
2017-05-01,7687.2900390625,7837.1201171875,3.4,1.3
2017-06-01,7835.27001953125,7843.16015625,3.1,1.3
2017-07-01,7840.22998046875,8018.0498046875,2.7,1.3
2017-08-01,8015.68017578125,7958.56982421875,2.8,2.0
2017-09-01,8038.27978515625,8171.43017578125,3.1,2.0
2017-10-01,8210.759765625,8365.259765625,3.4,2.0
2017-11-01,8342.98046875,8254.0302734375,3.5,1.7
2017-12-01,8236.150390625,8558.419921875,3.3,1.7
2018-01-01,8584.4599609375,8764.009765625,3.3,1.5
2018-02-01,8748.3798828125,8475.2900390625,4.0,1.5
2018-03-01,8471.2197265625,7979.830078125,3.8,1.5
2018-04-01,7993.6298828125,7819.25,4.3,1.5
2018-05-01,7791.6298828125,7497.169921875,4.5,1.5
2018-06-01,7499.89990234375,7193.68017578125,4.6,1.5
2018-07-01,7184.6201171875,7672.0,5.2,1.5
2018-08-01,7664.990234375,7855.7099609375,5.7,1.5
2018-09-01,7879.0,7276.81982421875,6.4,1.5
2018-10-01,7256.5400390625,7140.2900390625,6.7,1.5
2018-11-01,7204.1298828125,7367.85009765625,6.7,1.4
2018-12-01,7468.6201171875,7466.02001953125,6.0,1.4
2019-01-01,7496.56982421875,8007.47998046875,5.1,1.5
2019-02-01,8038.64990234375,7705.490234375,4.4,1.5
2019-03-01,7711.7001953125,7920.93017578125,3.8,1.5
2019-04-01,7923.16015625,7952.72021484375,3.3,1.5
2019-05-01,7952.52001953125,7970.02001953125,3.0,1.0
2019-06-01,7963.330078125,7999.7099609375,3.2,1.0
2019-07-01,8011.47021484375,8045.7998046875,2.7,1.0
2019-08-01,8035.75,7979.66015625,2.4,1.4
