Date,Open,Close,Inflation,GDP,S_10,Corr,RSI,Open-Close,Open-Open,Predicted_Signal,PSEi_returns,Strategy_Returns
2015-07-31,7509.0,7575.14990234375,1.2,0.4,7564.894970703125,0.7499629466937057,71.91613949545801,-161.3701171875,-71.4599609375,-1,,
2015-08-31,7563.43994140625,7573.259765625,0.8,2.0,7595.41494140625,0.6109625583354296,71.8136007351471,-11.7099609375,54.43994140625,-1,-0.0002495491962507557,0.0002495491962507557
2015-09-30,7065.08984375,7086.85986328125,0.6,2.0,7572.81591796875,0.15102261761741018,51.01557085892296,-508.169921875,-498.35009765625,-1,-0.06638124523056745,0.06638124523056745
2015-10-31,6899.259765625,6890.93994140625,0.4,2.0,7528.7369140625,-0.17754525375878547,45.161876005593186,-187.60009765625,-165.830078125,-1,-0.028034849036087495,0.028034849036087495
2015-11-30,7206.8798828125,7210.72998046875,0.4,1.4,7522.146923828125,-0.4872315428246721,54.60794290556614,315.93994140625,307.6201171875,-1,0.0453626949042481,-0.0453626949042481
2015-12-31,6918.5498046875,7060.60009765625,1.1,1.4,7465.1359375,-0.5228313225998262,50.10582990153695,-292.18017578125,-288.330078125,-1,-0.021040144168350025,0.021040144168350025
2016-01-31,6954.27001953125,6833.419921875,1.5,2.1,7371.0859375,-0.15338958144253312,44.00580853911087,-106.330078125,35.72021484375,-1,-0.03270477867103517,0.03270477867103517
2016-02-29,6705.52001953125,6701.35986328125,1.3,2.1,7241.912939453125,0.5284985275452163,40.797780344657035,-127.89990234375,-248.75,1,-0.01951479841865072,0.01951479841865072
2016-03-31,6670.75,6729.52978515625,0.9,2.1,7133.221923828125,0.7337579692722607,41.803317328787145,-30.60986328125,-34.77001953125,-1,0.004194802268458781,0.004194802268458781
2016-04-30,7273.8798828125,7245.1298828125,1.1,2.1,7090.697900390625,0.5173141753943122,56.74453218922741,544.35009765625,603.1298828125,-1,0.07382423010657369,-0.07382423010657369
2016-05-31,7106.35009765625,7053.8798828125,1.1,1.3,7038.5708984375,0.3707642599032575,51.31482423968509,-138.77978515625,-167.52978515625,1,-0.026751699414900902,0.026751699414900902
2016-06-30,7447.27001953125,7500.7900390625,1.6,1.3,7031.32392578125,-0.1918719922783689,61.00332005144817,393.39013671875,340.919921875,1,0.06143055010486349,0.06143055010486349
2016-07-31,7811.2001953125,7830.35009765625,1.9,1.3,7105.67294921875,-0.35470611126273194,66.47044761122143,310.41015625,363.93017578125,-1,0.0429988678112765,0.0429988678112765
2016-08-31,8006.72021484375,8069.81005859375,1.9,1.8,7223.5599609375,-0.22274284255731788,69.87961212735972,176.3701171875,195.52001953125,-1,0.030122723927972033,-0.030122723927972033
2016-09-30,7775.77978515625,7773.31005859375,1.8,1.8,7279.81796875,-0.17734330934999643,61.30411835816736,-294.0302734375,-230.9404296875,-1,-0.03743386664324225,0.03743386664324225
2016-10-31,7643.33984375,7677.72998046875,2.3,1.8,7341.53095703125,0.01874410606860789,58.722947972825054,-129.97021484375,-132.43994140625,-1,-0.012372150623476123,0.012372150623476123
2016-11-30,7371.68017578125,7252.39990234375,2.3,1.2,7383.428955078125,0.16452206822024273,48.60438806011526,-306.0498046875,-271.65966796875,-1,-0.056991492904600365,0.056991492904600365
2016-12-31,6902.14013671875,6864.8701171875,2.5,1.2,7399.77998046875,0.019320581732496282,41.3851427740488,-350.259765625,-469.5400390625,1,-0.05491531562801094,0.05491531562801094
2017-01-31,6840.06005859375,6861.31005859375,2.6,1.8,7412.9580078125,-0.26206188665110036,41.32249402655198,-24.81005859375,-62.080078125,1,-0.0005187253304249678,-0.0005187253304249678
2017-02-28,7297.72021484375,7227.4501953125,2.7,1.8,7411.1900390625,-0.3560008700657052,49.976032901364256,436.41015625,457.66015625,-1,0.05198790974098571,0.05198790974098571
2017-03-31,7167.89013671875,7170.7001953125,3.3,1.8,7422.8720703125,-0.640484791153884,48.73818447975155,-59.56005859375,-129.830078125,1,-0.00788299779322863,0.00788299779322863
2017-04-30,7323.740234375,7341.64990234375,3.4,1.8,7406.958056640625,-0.8038282264001627,52.66255902880519,153.0400390625,155.85009765625,1,0.02356029360885313,0.02356029360885313
2017-05-31,7687.2900390625,7703.10009765625,3.4,1.3,7394.233056640625,-0.8150240694598961,59.8784753570306,345.64013671875,363.5498046875,1,0.048059258216851204,0.048059258216851204
2017-06-30,7835.27001953125,7927.490234375,3.1,1.3,7380.00107421875,-0.6112861732147596,63.6957783450723,132.169921875,147.97998046875,-1,0.028713637643515515,0.028713637643515515
2017-07-31,7840.22998046875,7866.52001953125,2.7,1.3,7389.3220703125,-0.5752177972740942,61.9172439287887,-87.26025390625,4.9599609375,-1,-0.007720713958000093,0.007720713958000093
2017-08-31,8015.68017578125,7906.60009765625,2.8,2.0,7412.20908203125,-0.44116626262776387,62.678411142821446,149.16015625,175.4501953125,-1,0.005082084469208204,-0.005082084469208204
2017-09-30,8038.27978515625,8049.35009765625,3.1,2.0,7491.9041015625,0.18320854740815215,65.41403655118967,131.6796875,22.599609375,1,0.017893488887071516,-0.017893488887071516
2017-10-31,8210.759765625,8256.2802734375,3.4,2.0,7631.0451171875,0.49093886208830684,69.06608546876384,161.40966796875,172.47998046875,-1,0.02538280105055885,0.02538280105055885
