Date,PSEi_returns,Strategy_Returns
2021-01-01,-0.0766921916194063,0.0766921916194063
2021-02-01,-0.04950572992386679,0.04950572992386679
2021-03-01,-0.10266393935266836,-0.0036524795049347886
2021-04-01,-0.11393609744850997,-0.014924637600776393
2021-05-01,-0.07429509283155764,0.02471636701617593
2021-06-01,-0.03387394627815494,0.06513751356957863
2021-07-01,-0.1298591203362206,0.1611226876276443
2021-08-01,-0.04062966467659983,0.25035214328726507
2021-09-01,-0.026516208432786882,0.264465599531078
2021-10-01,-0.011978064756190523,0.24992745585448164
2021-11-01,0.008531070692680214,0.2704365913033524
2021-12-01,-0.0023951310202006675,0.2595103895904715
2022-01-01,0.03061192532323022,0.22650333324704064
2022-02-01,0.023709245245399295,0.23340601332487157
2022-03-01,0.008890730384594207,0.24822452818567667
2022-04-01,-0.05891129188641006,0.31602655045668093
2022-05-01,-0.054664071209327994,0.3117793297795989
